OBJECTID *,Shape *,Join_Count,TARGET_FID,Join_Count,TARGET_FID,tract,med_hh_inc,med_hh_i_1,ami_catego,below_med_,below_60pc,below_mode,sup_dist,csa,spa,ESRI_OID,Shape__Are,Shape__Len,id,name,artwork_type,description,lat,lon,combined_tags,geometry,CATEGORY,LOCATION NAME,PROJECT ADDRESS,Full Address,Latitude,Longitude,ART DESCRIPTION,ARTIST LAST NAME,ARTIST FIRST,Artist(s),MURAL LOCATION,Shape_Length,Shape_Area
1,Polygon,0,1,1,1,6037101110,84091,1558,Low Income,Yes,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4842,12329806.21,14765.649,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Public Art,Sunland-Tujunga Branch Library,"7771 Foothill Blvd., San Fernando Valley","7771 Foothill Blvd., Los Angeles, CA 91042",34.25795,-118.301,Outdoor handmade ceramic tile bench,Koblitz,Karen,Karen Koblitz,<Null>,4499.750653,1145059.601
2,Polygon,0,2,0,2,6037101122,99583,1407,Low Income,No,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4843,29088657.19,30028.21377,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,9150.934123,2701443.603
3,Polygon,0,3,0,3,6037101220,69676,1357,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4844,7532651.155,12504.55213,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3810.677182,699545.5574
4,Polygon,0,4,0,4,6037101221,53798,1483,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4845,3874399.418,8938.421349,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2723.932914,359811.818
5,Polygon,0,5,0,5,6037101222,45662,948,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4846,3090537.728,9750.96042,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2971.545116,287014.4514
6,Polygon,0,6,0,6,6037101300,125675,1513,Above Moderate Income,No,No,No,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4847,27694822.41,28700.87057,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,8773.950408,2567071.169
7,Polygon,0,7,0,7,6037101400,81154,1336,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4848,67867979.12,41887.33237,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,12764.91544,6302819.641
8,Polygon,0,8,0,8,6037102103,72656,714,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4849,12811195.37,16198.55183,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4936.478861,1189793.558
9,Polygon,0,9,0,9,6037102104,107656,1299,Low Income,No,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4850,17933361.96,27118.70816,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,8327.944163,1657401.157
10,Polygon,0,10,0,10,6037102105,96167,518,Low Income,Yes,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4851,5257057.125,9952.664202,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3033.01961,488127.9612
